team,slot,player,position,age,club,league,market_value_m,caps,goals,injury_status,expected_role,list_status,source_url,snapshot_date,value_source
Spain,17,Martín Zubimendi,MF,27,Arsenal,Premier League,49.7,25,3,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,18,Álex Baena,MF,24,Atlético Madrid,La Liga,44.5,15,2,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,19,Ferran Torres,FW,26,Barcelona,La Liga,109.5,55,23,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,20,Mikel Oyarzabal,FW,29,Real Sociedad,La Liga,93.9,52,24,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,21,Dani Olmo,FW,28,Barcelona,La Liga,77.9,48,12,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,22,Nico Williams,FW,23,Athletic Bilbao,La Liga,74.1,30,6,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,23,Lamine Yamal,FW,18,Barcelona,La Liga,41.4,25,6,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,24,Yéremy Pino,FW,23,Crystal Palace,Premier League,69.9,21,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,25,Borja Iglesias,FW,33,Celta Vigo,La Liga,26.7,6,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
Spain,26,Víctor Muñoz,FW,22,Osasuna,La Liga,44.9,2,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,2026-05-30,team_value_allocated_proxy
France,1,Brice Samba,GK,32,Rennes,Ligue 1,22.1,4,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,2,Malo Gusto,DF,23,Chelsea,Premier League,45.5,9,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,3,Lucas Digne,DF,32,Aston Villa,Premier League,57.3,56,0,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,4,Dayot Upamecano,DF,27,Bayern Munich,Bundesliga,63.5,36,2,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,5,Jules Koundé,DF,27,Barcelona,La Liga,69.6,46,0,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,6,Manu Koné,MF,25,Roma,Serie A,59.8,12,0,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,7,Ousmane Dembélé,FW,29,Paris Saint-Germain,Ligue 1,77,58,7,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,8,Aurélien Tchouaméni,MF,26,Real Madrid,La Liga,80,44,3,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,9,Marcus Thuram,FW,28,Inter Milan,Serie A,69.2,33,3,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,10,Kylian Mbappé,FW,27,Real Madrid,La Liga,160.5,96,56,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,11,Michael Olise,FW,24,Bayern Munich,Bundesliga,72.8,15,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,12,Bradley Barcola,FW,23,Paris Saint-Germain,Ligue 1,52.7,18,3,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,13,N'Golo Kanté,MF,35,Fenerbahçe,TUR,17.2,67,2,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,14,Adrien Rabiot,MF,31,Milan,Serie A,73.1,57,7,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,15,Ibrahima Konaté,DF,27,Liverpool,Premier League,51.3,27,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,16,Mike Maignan,GK,30,Milan,Serie A,30.8,38,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,17,William Saliba,DF,25,Arsenal,Premier League,52.6,31,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,18,Warren Zaïre-Emery,MF,20,Paris Saint-Germain,Ligue 1,24.2,10,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,19,Théo Hernandez,DF,28,Al-Hilal,Saudi Pro League,21.9,42,2,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,20,Désiré Doué,FW,21,Paris Saint-Germain,Ligue 1,28,6,2,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,21,Lucas Hernandez,DF,30,Paris Saint-Germain,Ligue 1,39.7,41,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,22,Jean-Philippe Mateta,FW,28,Crystal Palace,Premier League,48.5,3,2,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,23,Robin Risser,GK,21,Lens,Ligue 1,15.7,0,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,24,Rayan Cherki,FW,22,Manchester City,Premier League,56.2,5,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,25,Maghnes Akliouche,FW,24,Monaco,Ligue 1,47.1,7,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
France,26,Maxence Lacroix,DF,26,Crystal Palace,Premier League,33.7,2,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,2026-05-30,team_value_allocated_proxy
Norway,1,Ørjan Nyland,GK,35,Sevilla,La Liga,19.6,69,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,2,Morten Thorsby,MF,30,Cremonese,Serie A,25.7,30,0,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,3,Kristoffer Ajer,DF,28,Brentford,Premier League,28.7,50,2,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,4,Leo Østigård,DF,26,Genoa,Serie A,27.9,36,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,5,David Møller Wolfe,DF,24,Wolverhampton Wanderers,Premier League,27.5,20,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,6,Patrick Berg,MF,28,Bodø/Glimt,NOR,9.4,41,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,7,Alexander Sørloth,FW,30,Atlético Madrid,La Liga,55.6,70,26,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,8,Sander Berge,MF,28,Fulham,Premier League,34.4,64,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,9,Erling Haaland,FW,25,Manchester City,Premier League,62.7,49,55,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,10,Martin Ødegaard,MF,27,Arsenal,Premier League,42,67,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,11,Jørgen Strand Larsen,FW,26,Crystal Palace,Premier League,37.9,26,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,12,Sander Tangvik,GK,23,Hamburger SV,Bundesliga,7.7,0,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,13,Egil Selvik,GK,28,Watford,Premier League,12.1,6,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,14,Fredrik Aursnes,MF,30,Benfica,Primeira Liga,15.9,20,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,15,Fredrik André Bjørkan,DF,27,Bodø/Glimt,NOR,8.6,19,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,16,Marcus Holmgren Pedersen,DF,25,Torino,Serie A,21.4,31,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,17,Torbjørn Heggem,DF,27,Bologna,Serie A,19,13,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,18,Kristian Thorstvedt,MF,27,Sassuolo,Serie A,32.2,35,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,19,Thelo Aasgaard,MF,24,Rangers,SCO,9.2,6,5,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,20,Antonio Nusa,MF,21,RB Leipzig,Bundesliga,18.5,22,7,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,21,Andreas Schjelderup,MF,22,Benfica,Primeira Liga,13.5,10,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,22,Oscar Bobb,MF,22,Fulham,Premier League,24.7,18,2,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,23,Jens Petter Hauge,MF,26,Bodø/Glimt,NOR,9.3,14,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,24,Sondre Langås,DF,25,Derby County,Premier League,19.1,2,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,25,Henrik Falchener,DF,23,Viking,NOR,7.6,1,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Norway,26,Julian Ryerson,DF,28,Borussia Dortmund,Bundesliga,19.8,41,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,2026-05-30,team_value_allocated_proxy
Argentina,1,Juan Musso,GK,32,Atlético Madrid,La Liga,16.5,3,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,2,Leonardo Balerdi,DF,27,Marseille,Ligue 1,24.3,11,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,3,Nicolás Tagliafico,DF,33,Lyon,Ligue 1,27,75,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,4,Gonzalo Montiel,DF,29,River Plate,Argentine Primera Division,21.5,38,2,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,5,Leandro Paredes,MF,31,Boca Juniors,Argentine Primera Division,38.5,77,5,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,6,Lisandro Martínez,DF,28,Manchester United,Premier League,28.4,26,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,7,Rodrigo De Paul,MF,32,Inter Miami CF,MLS,24.1,85,2,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,8,Valentín Barco,MF,21,Strasbourg,Ligue 1,15.2,2,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,9,Julián Alvarez,FW,26,Atlético Madrid,La Liga,71.8,51,14,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,10,Lionel Messi,FW,38,Inter Miami CF,MLS,39.5,198,116,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,11,Giovani Lo Celso,MF,30,Real Betis,La Liga,49.9,65,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,12,Gerónimo Rulli,GK,34,Marseille,Ligue 1,14.3,7,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,13,Cristian Romero,DF,28,Tottenham Hotspur,Premier League,33.3,49,3,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,14,Exequiel Palacios,MF,27,Bayer Leverkusen,Bundesliga,36.2,38,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,15,Nicolás González,FW,28,Atlético Madrid,La Liga,54.3,50,6,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,16,Thiago Almada,FW,25,Atlético Madrid,La Liga,48.8,14,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,17,Giuliano Simeone,FW,23,Atlético Madrid,La Liga,45.4,11,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,18,Nico Paz,FW,21,Como,Serie A,19.8,8,1,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,19,Nicolás Otamendi,DF,38,Benfica,Primeira Liga,16.5,130,8,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,20,Alexis Mac Allister,MF,27,Liverpool,Premier League,54.5,44,6,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,21,José Manuel López,FW,25,Palmeiras,Brasileirao,19.6,3,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,22,Lautaro Martínez,FW,28,Inter Milan,Serie A,81.6,75,36,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,23,Emiliano Martínez,GK,33,Aston Villa,Premier League,24.2,59,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,24,Enzo Fernández,MF,25,Chelsea,Premier League,53.3,40,6,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,25,Facundo Medina,DF,27,Marseille,Ligue 1,18.4,7,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Argentina,26,Nahuel Molina,DF,28,Atlético Madrid,La Liga,33.1,58,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,2026-05-30,team_value_allocated_proxy
Austria,1,Alexander Schlager,GK,30,Red Bull Salzburg,AUT,3.8,25,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,2,David Affengruber,DF,25,Elche,La Liga,10,1,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,3,Kevin Danso,DF,27,Tottenham Hotspur,Premier League,15.9,31,0,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,4,Xaver Schlager,MF,28,RB Leipzig,Bundesliga,16.4,50,4,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,5,Stefan Posch,DF,29,Mainz 05,Bundesliga,14.8,51,5,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,6,Nicolas Seiwald,MF,25,RB Leipzig,Bundesliga,18.1,46,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,7,Marko Arnautović,FW,37,Red Star Belgrade,SRB,9.5,132,47,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,8,David Alaba,DF,33,Real Madrid,La Liga,17.6,112,15,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,9,Marcel Sabitzer,MF,32,Borussia Dortmund,Bundesliga,20.5,97,25,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,10,Florian Grillitsch,MF,30,Braga,Primeira Liga,10.9,58,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,11,Michael Gregoritsch,FW,32,FC Augsburg,Bundesliga,24.9,74,24,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,12,Florian Wiegele,GK,25,Viktoria Plzeň,CZE,2.9,1,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,13,Patrick Pentz,GK,29,Brøndby,DEN,3.6,18,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,14,Saša Kalajdžić,FW,28,LASK,AUT,5.4,21,4,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,15,Philipp Lienhart,DF,29,SC Freiburg,Bundesliga,10.9,40,3,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,16,Phillipp Mwene,DF,32,Mainz 05,Bundesliga,6.7,29,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,17,Carney Chukwuemeka,MF,22,Borussia Dortmund,Bundesliga,10.8,2,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,18,Romano Schmid,MF,26,Werder Bremen,Bundesliga,17.1,33,3,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,19,Christoph Baumgartner,MF,26,RB Leipzig,Bundesliga,23.1,58,19,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,20,Konrad Laimer,MF,29,Bayern Munich,Bundesliga,17.5,56,7,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,21,Patrick Wimmer,MF,25,VfL Wolfsburg,Bundesliga,13.1,30,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,22,Alexander Prass,DF,25,TSG Hoffenheim,Bundesliga,10.7,18,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,23,Marco Friedl,DF,28,Werder Bremen,Bundesliga,8.7,10,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,24,Paul Wanner,MF,20,PSV Eindhoven,Eredivisie,5,2,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,25,Michael Svoboda,DF,27,Venezia,Serie A,7.5,4,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Austria,26,Alessandro Schöpf,MF,32,Wolfsberger AC,AUT,4.6,35,6,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,2026-05-30,team_value_allocated_proxy
Colombia,1,David Ospina,GK,37,Atlético Nacional,COL,5.6,129,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,2,Camilo Vargas,GK,37,Atlas,Liga MX,5.3,40,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,3,Álvaro Montero,GK,31,Vélez Sarsfield,Argentine Primera Division,5.8,11,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,4,Davinson Sánchez,DF,29,Galatasaray,TUR,9,77,3,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,5,Santiago Arias,DF,34,Independiente,Argentine Primera Division,10,66,0,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,6,Yerry Mina,DF,31,Cagliari,Serie A,18.9,52,8,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,7,Daniel Muñoz,DF,30,Crystal Palace,Premier League,18.7,44,3,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,8,Johan Mojica,DF,33,Mallorca,La Liga,12.4,43,1,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,9,Jhon Lucumí,DF,27,Bologna,Serie A,18.5,35,1,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,10,Deiver Machado,DF,32,Nantes,Ligue 1,6.8,14,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,11,Willer Ditta,DF,29,Cruz Azul,Liga MX,4.9,3,0,unknown,squad,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,12,James Rodríguez,MF,34,Minnesota United FC,MLS,18.2,124,31,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,13,Jefferson Lerma,MF,31,Crystal Palace,Premier League,24,64,5,unknown,starter,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
Colombia,14,Juan Fernando Quintero,MF,33,River Plate,Argentine Primera Division,13.5,47,6,unknown,rotation,association_final,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,2026-05-30,team_value_allocated_proxy
