team,group,confed,host,model_rating,data_coverage,data_quality,source_backed_fields,proxy_fields,fifa_rank,fifa_points,elo,form,wc_path,odds,squad_status,squad_announcement_status,squad_announcement_date,squad_value_m,avg_age,injury_risk,club_score,atmosphere,travel_km,rest_days,timezone_shift_hours,entry_travel_km,entry_timezone_shift_hours,border_crossings,altitude_load_m,climate_load
Argentina,J,CONMEBOL,false,2016,100,67,22,2,3,1875,2114,77,98,800,26人官方最终名单,FIFA最终名单,2026-06-02,808,28.7,29,84,63,739,5.5,0,8992,2,0,264,49
Algeria,J,CAF,false,1690,100,67,22,2,38,1490,1760,73,36,25000,26人官方最终名单,FIFA最终名单,2026-06-02,257,26.5,22,69,60,4798,5.5,2,8098,6,0,264,33
Austria,J,UEFA,false,1754,100,67,22,2,27,1548,1830,76,49,10000,26人官方最终名单,FIFA最终名单,2026-06-02,245,28.2,22,80,63,3054,5.5,2,9642,9,0,264,45
Jordan,J,AFC,false,1551,100,67,22,2,64,1373,1685,64,13,100000,26人官方最终名单,FIFA最终名单,2026-06-02,20,28.1,22,51,55,2315,5.5,2,11968,10,0,184,34
Portugal,K,UEFA,false,1932,100,67,22,2,5,1764,1986,70,65,900,26人官方最终名单,FIFA最终名单,2026-06-02,1010,27.5,22,81,59,1547,5,1,7703,6,0,13,59
Congo DR,K,CAF,false,1613,100,67,22,2,56,1429,1661,70,17,75000,26人官方最终名单,FIFA最终名单,2026-06-02,144,28.5,22,70,57,3660,5,2,12246,6,2,1566,46
Uzbekistan,K,AFC,false,1602,100,67,22,2,50,1460,1718,65,13,100000,26人官方最终名单,FIFA最终名单,2026-06-02,85,28,22,52,55,2349,5,2,13171,11,1,2240,52
Colombia,K,CONMEBOL,false,1827,100,67,22,2,13,1692,1977,69,47,3500,26人官方最终名单,FIFA最终名单,2026-06-02,302,29.6,22,74,55,2915,5,2,3166,1,1,2240,58
England,L,UEFA,false,2011,100,67,22,2,4,1835,2021,72,94,650,26人官方最终名单,FIFA最终名单,2026-06-02,1360,26.6,22,93,66,2768,5,1,7662,6,0,184,37
Croatia,L,UEFA,false,1838,100,67,22,2,10,1714,1908,70,76,6600,26人官方最终名单,FIFA最终名单,2026-06-02,387,27.9,22,81,63,2500,5,1,8996,7,2,184,37
Ghana,L,CAF,false,1554,100,67,22,2,72,1335,1510,54,48,25000,26人官方最终名单,FIFA最终名单,2026-06-02,235,26.4,22,76,52,1094,5,0,8712,4,1,88,26
Panama,L,CONCACAF,false,1613,100,67,22,2,31,1521,1730,62,23,100000,26人官方最终名单,FIFA最终名单,2026-06-02,35,30,22,53,52,540,5,0,3853,1,1,76,24
