team,matches,first_date,last_date,origin_city,origin_country,venue_sequence,country_sequence,timezone_sequence,entry_travel_km,entry_timezone_shift_hours,group_stage_travel_km,avg_rest_days,rest_sequence_days,max_timezone_shift_hours,border_crossings,avg_altitude_m,max_altitude_m,avg_environment_load,weather_forecast_matches,weather_baseline_matches,weather_snapshot_date
Panama,3,2026-06-17,2026-06-27,Panama City,Panama,Toronto Stadium > Toronto Stadium > New York New Jersey Stadium,Canada > Canada > USA,-4|-4|-4,3853,1,540,5,6|4,0,1,52,76,23,2,1,2026-06-11
Paraguay,3,2026-06-12,2026-06-25,Asuncion,Paraguay,Los Angeles Stadium > San Francisco Bay Area Stadium > San Francisco Bay Area Stadium,USA > USA > USA,-7|-7|-7,9190,3,505,6.5,7|6,0,0,21,38,21,3,0,2026-06-11
Portugal,3,2026-06-17,2026-06-27,Lisbon,Portugal,Houston Stadium > Houston Stadium > Miami Stadium,USA > USA > USA,-5|-5|-4,7703,6,1547,5,6|4,1,0,9,13,63,2,1,2026-06-11
Qatar,3,2026-06-13,2026-06-24,Doha,Qatar,San Francisco Bay Area Stadium > BC Place Vancouver > Seattle Stadium,USA > Canada > USA,-7|-7|-7,13011,10,1519,5.5,5|6,0,2,11,13,20,3,0,2026-06-11
Saudi Arabia,3,2026-06-15,2026-06-26,Riyadh,Saudi Arabia,Miami Stadium > Atlanta Stadium > Houston Stadium,USA > USA > USA,-4|-4|-5,11999,7,2090,5.5,6|5,1,0,112,320,47,2,1,2026-06-11
Scotland,3,2026-06-13,2026-06-24,Glasgow,Scotland,Boston Stadium > Boston Stadium > Miami Stadium,USA > USA > USA,-4|-4|-4,4910,5,1973,5.5,6|5,0,0,59,88,38,3,0,2026-06-11
Senegal,3,2026-06-16,2026-06-26,Dakar,Senegal,New York New Jersey Stadium > New York New Jersey Stadium > Toronto Stadium,USA > USA > Canada,-4|-4|-4,6152,4,540,5,6|4,0,1,27,76,28,2,1,2026-06-11
South Africa,3,2026-06-11,2026-06-24,Johannesburg,South Africa,Mexico City Stadium > Atlanta Stadium > Estadio Monterrey,Mexico > USA > Mexico,-6|-4|-6,14582,8,3943,6.5,7|6,2,2,1033,2240,49,3,0,2026-06-11
Spain,3,2026-06-15,2026-06-26,Madrid,Spain,Atlanta Stadium > Atlanta Stadium > Estadio Guadalajara,USA > USA > Mexico,-4|-4|-6,6944,6,2373,5.5,6|5,2,1,735,1566,41,2,1,2026-06-11
Sweden,3,2026-06-14,2026-06-25,Stockholm,Sweden,Estadio Monterrey > Houston Stadium > Dallas Stadium,Mexico > USA > USA,-6|-5|-5,9019,8,1029,5.5,6|5,1,1,246,540,56,3,0,2026-06-11
Switzerland,3,2026-06-13,2026-06-24,Bern,Switzerland,San Francisco Bay Area Stadium > Los Angeles Stadium > BC Place Vancouver,USA > USA > Canada,-7|-7|-7,9372,9,2253,5.5,5|6,0,1,21,38,22,3,0,2026-06-11
Tunisia,3,2026-06-14,2026-06-25,Tunis,Tunisia,Estadio Monterrey > Estadio Monterrey > Kansas City Stadium,Mexico > Mexico > USA,-6|-6|-5,9959,7,1582,5.5,6|5,1,1,448,540,49,3,0,2026-06-11
Türkiye,3,2026-06-13,2026-06-25,Istanbul,Turkey,BC Place Vancouver > San Francisco Bay Area Stadium > Los Angeles Stadium,Canada > USA > USA,-7|-7|-7,9611,10,1828,6,6|6,0,1,21,38,17,3,0,2026-06-11
Uruguay,3,2026-06-15,2026-06-26,Montevideo,Uruguay,Miami Stadium > Miami Stadium > Estadio Guadalajara,USA > USA > Mexico,-4|-4|-6,7226,1,2439,5.5,6|5,2,1,523,1566,59,2,1,2026-06-11
USA,3,2026-06-12,2026-06-25,New York,USA,Los Angeles Stadium > Seattle Stadium > Los Angeles Stadium,USA > USA > USA,-7|-7|-7,3948,3,3106,6.5,7|6,0,0,28,38,19,3,0,2026-06-11
Uzbekistan,3,2026-06-17,2026-06-27,Tashkent,Uzbekistan,Mexico City Stadium > Houston Stadium > Atlanta Stadium,Mexico > USA > USA,-6|-5|-4,13171,11,2349,5,6|4,2,1,858,2240,49,2,1,2026-06-11
