date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_pre,away_elo_pre,home_fifa_pre,away_fifa_pre,home_form_pre,away_form_pre,match_weight
2025-03-20,Canada,Mexico,0,2,CONCACAF Nations League,TRUE,1797,1784,1513,1636,67,60,1
2025-03-20,USA,Panama,0,1,CONCACAF Nations League,FALSE,1787,1724,1636,1488,64,52,1
2025-03-20,Croatia,France,2,0,UEFA Nations League,FALSE,1856,2045,1643,1856,58,66,1
2025-03-20,Netherlands,Spain,2,2,UEFA Nations League,FALSE,1922,2177,1747,1887,63,79,1
2025-03-20,Brazil,Colombia,2,1,FIFA World Cup qualification,FALSE,1994,1978,1796,1700,65,60,1
2025-03-21,Uruguay,Argentina,0,1,FIFA World Cup qualification,FALSE,1947,2115,1674,1865,55,69,1
2025-03-23,USA,Canada,1,2,CONCACAF Nations League,FALSE,1756,1763,1626,1507,63,62,1
2025-03-23,Panama,Mexico,1,2,CONCACAF Nations League,TRUE,1756,1819,1498,1642,57,65,1
2025-03-23,France,Croatia,2,0,UEFA Nations League,FALSE,2005,1896,1845,1654,64,59,1
2025-03-23,Spain,Netherlands,3,3,UEFA Nations League,FALSE,2169,1929,1885,1749,76,64,1
2025-03-25,Colombia,Paraguay,2,2,FIFA World Cup qualification,FALSE,1963,1765,1690,1449,59,61,1
2025-03-25,Argentina,Brazil,4,1,FIFA World Cup qualification,FALSE,2134,2009,1873,1807,69,67,1
2025-03-25,IR Iran,Uzbekistan,2,2,FIFA World Cup qualification,FALSE,1847,1699,1694,1539,76,69,1
2025-03-25,Korea Republic,Jordan,1,1,FIFA World Cup qualification,FALSE,1775,1639,1625,1462,74,64,1
2025-03-25,Japan,Saudi Arabia,0,0,FIFA World Cup qualification,FALSE,1914,1546,1719,1466,81,59,1
2025-05-30,Saudi Arabia,Jordan,2,0,Friendly,FALSE,1565,1652,1471,1465,57,62,0.6
2025-06-04,Germany,Portugal,1,2,UEFA Nations League,FALSE,1969,1968,1760,1727,70,68,1
2025-06-05,Spain,France,5,4,UEFA Nations League,TRUE,2153,2021,1884,1850,73,64,1
2025-06-05,Ecuador,Brazil,0,0,FIFA World Cup qualification,FALSE,1911,1992,1578,1795,65,62,1
2025-06-05,Paraguay,Uruguay,2,0,FIFA World Cup qualification,FALSE,1780,1917,1455,1656,62,55,1
2025-06-05,Qatar,IR Iran,1,0,FIFA World Cup qualification,FALSE,1509,1834,1475,1690,56,74,1
2025-06-05,Iraq,Korea Republic,0,2,FIFA World Cup qualification,FALSE,1560,1763,1469,1621,56,71,1
2025-06-05,Australia,Japan,1,0,FIFA World Cup qualification,FALSE,1751,1895,1594,1713,68,78,1
2025-06-06,Morocco,Tunisia,2,0,Friendly,FALSE,1810,1627,1636,1467,84,68,0.6
2025-06-07,Mexico,Switzerland,2,4,Friendly,TRUE,1837,1776,1648,1590,69,54,0.6
2025-06-07,USA,Türkiye,1,2,Friendly,FALSE,1728,1797,1616,1526,63,69,0.6
2025-06-07,Cote d'Ivoire,New Zealand,0,1,Canadian Shield,TRUE,1596,1693,1531,1453,72,78,0.8
2025-06-08,Germany,France,0,2,UEFA Nations League,FALSE,1940,2007,1751,1843,66,63,1
2025-06-08,Portugal,Spain,2,2,UEFA Nations League,TRUE,1996,2168,1735,1891,70,73,1
2025-06-09,Croatia,Czechia,5,1,FIFA World Cup qualification,FALSE,1881,1716,1650,1471,62,69,1
2025-06-10,England,Senegal,1,3,Friendly,FALSE,1997,1776,1780,1620,76,73,0.6
2025-06-10,Mexico,Türkiye,1,0,Friendly,TRUE,1818,1810,1642,1532,65,69,0.6
2025-06-10,Sweden,Algeria,4,3,Friendly,FALSE,1707,1719,1520,1539,72,81,0.6
2025-06-10,USA,Switzerland,0,4,Friendly,FALSE,1716,1795,1610,1596,63,55,0.6
2025-06-10,Argentina,Colombia,1,1,FIFA World Cup qualification,FALSE,2158,1932,1889,1679,72,53,1
2025-06-10,Brazil,Paraguay,1,0,FIFA World Cup qualification,FALSE,1994,1815,1791,1472,62,67,1
2025-06-10,Uzbekistan,Qatar,3,0,FIFA World Cup qualification,FALSE,1709,1543,1540,1493,66,59,1
2025-06-10,Jordan,Iraq,0,1,FIFA World Cup qualification,FALSE,1676,1534,1472,1460,61,54,1
2025-06-10,Saudi Arabia,Australia,1,2,FIFA World Cup qualification,FALSE,1615,1775,1487,1610,64,68,1
2025-06-10,Canada,Cote d'Ivoire,0,0,Canadian Shield,FALSE,1807,1584,1522,1525,68,67,0.8
2025-06-10,Haiti,Curacao,1,5,FIFA World Cup qualification,TRUE,1619,1396,1383,1204,84,72,1
2025-06-15,Haiti,Saudi Arabia,0,1,Gold Cup,TRUE,1556,1596,1366,1477,79,63,1
2025-06-19,USA,Saudi Arabia,1,0,Gold Cup,FALSE,1707,1621,1614,1491,61,67,1
2025-06-21,Curacao,Canada,1,1,Gold Cup,TRUE,1456,1814,1223,1534,70,72,1
2025-06-22,USA,Haiti,2,1,Gold Cup,FALSE,1721,1523,1628,1349,65,72,1
2025-06-28,Mexico,Saudi Arabia,2,0,Gold Cup,TRUE,1833,1594,1654,1471,71,64,1
2025-07-06,USA,Mexico,1,2,Gold Cup,FALSE,1733,1864,1643,1675,63,75,1
2025-09-04,Paraguay,Ecuador,0,0,FIFA World Cup qualification,FALSE,1807,1905,1466,1581,66,64,1
2025-09-05,Australia,New Zealand,1,0,Soccer Ashes,FALSE,1795,1691,1620,1455,68,73,0.8
2025-09-06,Mexico,Japan,0,0,Friendly,TRUE,1890,1875,1692,1701,74,74,0.6
2025-09-06,USA,Korea Republic,0,2,Friendly,FALSE,1706,1791,1626,1635,58,72,0.6
2025-09-07,Türkiye,Spain,0,6,FIFA World Cup qualification,FALSE,1819,2161,1535,1891,71,74,1
2025-09-08,Czechia,Saudi Arabia,1,1,Friendly,FALSE,1721,1586,1470,1462,72,64,0.6
2025-09-09,Mexico,Korea Republic,2,2,Friendly,TRUE,1890,1809,1692,1640,71,75,0.6
2025-09-09,New Zealand,Australia,1,3,Soccer Ashes,FALSE,1683,1803,1451,1624,72,72,0.8
2025-09-09,USA,Japan,2,0,Friendly,FALSE,1689,1876,1621,1701,58,71,0.6
2025-09-09,Ecuador,Argentina,1,0,FIFA World Cup qualification,FALSE,1906,2147,1578,1888,65,70,1
2025-09-09,Congo DR,Senegal,2,3,FIFA World Cup qualification,FALSE,1596,1808,1377,1631,75,76,1
2025-09-09,Bosnia and Herzegovina,Austria,1,2,FIFA World Cup qualification,FALSE,1452,1807,1299,1518,60,69,1
2025-10-09,Czechia,Croatia,0,0,FIFA World Cup qualification,FALSE,1715,1902,1470,1665,69,70,1
2025-10-10,Canada,Australia,0,1,Friendly,FALSE,1815,1827,1537,1627,70,75,0.6
2025-10-10,Japan,Paraguay,2,2,Kirin Cup,FALSE,1856,1829,1695,1481,66,66,0.8
2025-10-10,Korea Republic,Brazil,0,5,Friendly,FALSE,1811,1973,1640,1779,72,65,0.6
2025-10-10,USA,Ecuador,1,1,Friendly,FALSE,1709,1935,1627,1597,62,65,0.6
2025-10-10,Sweden,Switzerland,0,2,FIFA World Cup qualification,FALSE,1681,1845,1504,1615,68,68,1
2025-10-11,Mexico,Colombia,0,4,Friendly,TRUE,1888,1982,1692,1696,69,60,0.6
2025-10-13,Uzbekistan,Uruguay,1,2,Friendly,TRUE,1726,1903,1554,1652,67,63,0.6
2025-10-14,Japan,Brazil,3,2,Kirin Cup,FALSE,1850,1992,1693,1783,63,66,0.8
2025-10-14,Canada,Colombia,0,0,Friendly,TRUE,1801,1998,1533,1701,70,64,0.6
2025-10-14,Korea Republic,Paraguay,2,0,Friendly,FALSE,1792,1835,1637,1483,67,66,0.6
2025-10-14,Mexico,Ecuador,1,1,Friendly,FALSE,1872,1932,1687,1598,68,65,0.6
2025-10-14,Norway,New Zealand,1,1,Friendly,FALSE,1841,1651,1488,1443,80,65,0.6
2025-10-14,USA,Australia,2,1,Friendly,FALSE,1712,1841,1627,1632,63,75,0.6
2025-10-14,Saudi Arabia,Iraq,0,0,FIFA World Cup qualification,FALSE,1599,1597,1470,1485,64,62,1
2025-11-13,Canada,Ecuador,0,0,Friendly,FALSE,1806,1933,1534,1599,68,65,0.6
2025-11-13,IR Iran,Cabo Verde,0,0,Al Ain International Cup,TRUE,1798,1547,1671,1352,68,71,0.8
2025-11-14,Japan,Ghana,2,0,Kirin Cup,FALSE,1868,1512,1699,1384,65,70,0.8
2025-11-14,Saudi Arabia,Cote d'Ivoire,1,0,Friendly,FALSE,1593,1609,1470,1532,61,69,0.6
2025-11-14,Tunisia,Jordan,3,2,Friendly,FALSE,1644,1627,1483,1449,72,58,0.6
2025-11-14,Uzbekistan,Egypt,2,0,Al Ain International Cup,TRUE,1720,1677,1550,1551,66,74,0.8
2025-11-15,Brazil,Senegal,2,0,Friendly,TRUE,1974,1831,1777,1644,62,78,0.6
2025-11-15,Colombia,New Zealand,2,1,Friendly,TRUE,1992,1658,1699,1443,61,62,0.6
2025-11-15,Mexico,Uruguay,0,0,Friendly,FALSE,1870,1910,1686,1657,66,66,0.6
2025-11-15,USA,Paraguay,2,1,Friendly,FALSE,1723,1821,1632,1480,68,62,0.6
2025-11-15,Switzerland,Sweden,4,1,FIFA World Cup qualification,FALSE,1868,1621,1621,1475,72,62,1
2025-11-17,Cabo Verde,Egypt,1,1,Al Ain International Cup,TRUE,1556,1655,1354,1546,71,69,0.8
2025-11-18,Saudi Arabia,Algeria,0,2,Friendly,FALSE,1601,1712,1476,1544,61,76,0.6
2025-11-18,Brazil,Tunisia,1,1,Friendly,TRUE,1985,1652,1781,1488,65,76,0.6
2025-11-18,Colombia,Australia,3,0,Friendly,TRUE,1996,1815,1702,1619,65,71,0.6
2025-11-18,Ecuador,New Zealand,2,0,Friendly,TRUE,1933,1655,1598,1440,62,58,0.6
2025-11-18,Korea Republic,Ghana,1,0,Friendly,FALSE,1813,1508,1642,1382,68,68,0.6
2025-11-18,Mexico,Paraguay,1,2,Friendly,TRUE,1868,1811,1686,1476,63,58,0.6
2025-11-18,USA,Uruguay,5,1,Friendly,FALSE,1734,1912,1636,1657,67,63,0.6
2025-11-18,Spain,Türkiye,2,2,FIFA World Cup qualification,FALSE,2193,1829,1903,1549,76,70,1
2025-11-18,Austria,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,FALSE,1795,1487,1514,1302,69,69,1
2025-11-18,IR Iran,Uzbekistan,0,0,Al Ain International Cup,TRUE,1789,1742,1669,1555,68,66,0.8
2025-12-07,Qatar,Tunisia,0,3,Arab Cup,FALSE,1470,1629,1467,1482,53,66,0.8
2025-12-08,Morocco,Saudi Arabia,1,0,Arab Cup,TRUE,1832,1607,1659,1478,79,65,0.8
2025-12-09,Egypt,Jordan,0,3,Arab Cup,TRUE,1636,1632,1540,1447,66,59,0.8
2025-12-09,Algeria,Iraq,2,0,Arab Cup,TRUE,1726,1640,1549,1501,74,71,0.8
2025-12-12,Jordan,Iraq,1,0,Arab Cup,TRUE,1661,1621,1453,1497,59,71,0.8
2025-12-15,Saudi Arabia,Jordan,0,1,Arab Cup,TRUE,1611,1676,1478,1458,67,63,0.8
2025-12-18,Jordan,Morocco,2,3,Arab Cup,TRUE,1690,1855,1464,1668,66,79,0.8
2025-12-26,Egypt,South Africa,1,0,African Cup of Nations,TRUE,1616,1586,1542,1458,62,71,1
2025-12-27,Senegal,Congo DR,1,1,African Cup of Nations,TRUE,1830,1636,1646,1416,77,75,1
2026-01-06,Algeria,Congo DR,1,0,African Cup of Nations,TRUE,1772,1661,1580,1431,77,73,1
2026-01-10,Egypt,Cote d'Ivoire,3,2,African Cup of Nations,TRUE,1649,1681,1557,1560,62,73,1
2026-01-14,Senegal,Egypt,1,0,African Cup of Nations,TRUE,1848,1679,1662,1575,77,62,1
2026-01-18,Morocco,Senegal,3,0,African Cup of Nations,FALSE,1852,1864,1688,1677,77,77,1
2026-01-22,Panama,Mexico,0,1,Friendly,FALSE,1774,1856,1536,1678,69,59,0.6
2026-03-26,Brazil,France,1,2,Friendly,TRUE,1977,2051,1778,1856,64,72,0.6
2026-03-26,Colombia,Croatia,1,2,Friendly,TRUE,2007,1904,1706,1667,69,77,0.6
2026-03-27,Austria,Ghana,5,1,Friendly,FALSE,1777,1506,1509,1379,69,67,0.6
2026-03-27,England,Uruguay,1,1,Friendly,FALSE,2033,1887,1794,1652,80,61,0.6
2026-03-27,Morocco,Ecuador,1,1,Friendly,TRUE,1888,1939,1705,1602,77,63,0.6
2026-03-27,Netherlands,Norway,2,1,Friendly,FALSE,1937,1890,1752,1509,73,81,0.6
2026-03-27,Saudi Arabia,Egypt,0,4,Friendly,FALSE,1597,1671,1472,1560,63,62,0.6
2026-03-27,South Africa,Panama,1,1,Friendly,FALSE,1546,1762,1435,1532,69,65,0.6
2026-03-27,Switzerland,Germany,3,4,Friendly,FALSE,1873,1895,1623,1742,76,68,0.6
2026-03-28,Haiti,Tunisia,0,1,Friendly,TRUE,1593,1622,1365,1470,57,61,0.6
2026-03-28,Cote d'Ivoire,Korea Republic,4,0,Friendly,TRUE,1651,1815,1542,1645,69,70,0.6
2026-03-28,Mexico,Portugal,0,0,Friendly,FALSE,1879,1947,1686,1727,63,69,0.6
2026-03-28,Scotland,Japan,0,1,Friendly,FALSE,1746,1881,1464,1704,67,66,0.6
2026-03-28,USA,Belgium,2,5,Friendly,FALSE,1758,1816,1641,1693,68,71,0.6
2026-03-29,Colombia,France,1,3,Friendly,TRUE,1993,2060,1701,1861,69,76,0.6
2026-03-30,Germany,Ghana,2,1,Friendly,FALSE,1909,1501,1746,1375,68,62,0.6
2026-03-31,Algeria,Uruguay,0,0,Friendly,TRUE,1756,1894,1576,1653,73,62,0.6
2026-03-31,Austria,Korea Republic,1,0,Friendly,FALSE,1782,1786,1513,1639,72,67,0.6
2026-03-31,Brazil,Croatia,3,1,Friendly,TRUE,1968,1918,1774,1673,60,76,0.6
2026-03-31,Canada,Tunisia,0,0,Friendly,FALSE,1810,1632,1537,1474,65,63,0.6
2026-03-31,England,Japan,0,1,Friendly,FALSE,2027,1891,1793,1707,77,67,0.6
2026-03-31,Cote d'Ivoire,Scotland,1,0,Friendly,TRUE,1680,1736,1548,1461,72,63,0.6
2026-03-31,Mexico,Belgium,1,1,Friendly,TRUE,1877,1838,1686,1697,60,76,0.6
2026-03-31,Morocco,Paraguay,2,1,Friendly,TRUE,1890,1834,1704,1488,75,61,0.6
2026-03-31,Netherlands,Ecuador,1,1,Friendly,FALSE,1944,1938,1755,1603,75,60,0.6
2026-03-31,Norway,Switzerland,0,0,Friendly,FALSE,1883,1859,1507,1619,76,74,0.6
2026-03-31,South Africa,Panama,1,2,Friendly,FALSE,1549,1759,1436,1531,66,62,0.6
2026-03-31,Spain,Egypt,0,0,Friendly,FALSE,2176,1693,1897,1564,76,65,0.6
2026-03-31,USA,Portugal,0,2,Friendly,FALSE,1736,1948,1636,1726,63,70,0.6
2026-03-31,Australia,Curacao,5,1,FIFA Series,FALSE,1809,1493,1619,1257,68,60,0.8
2026-05-22,Mexico,Ghana,2,0,Friendly,FALSE,1876,1500,1686,1373,60,58,0.6
2026-05-30,Ecuador,Saudi Arabia,2,1,Friendly,TRUE,1941,1570,1604,1463,60,57,0.6
2026-05-30,Mexico,Australia,1,0,Friendly,TRUE,1879,1815,1689,1621,63,69,0.6
2026-05-30,Scotland,Curacao,4,1,Friendly,FALSE,1723,1487,1456,1255,63,58,0.6
2026-05-31,Brazil,Panama,6,2,Friendly,FALSE,1982,1768,1778,1536,65,64,0.6
2026-05-31,Switzerland,Jordan,4,1,Friendly,FALSE,1863,1682,1618,1462,71,64,0.6
2026-05-31,USA,Senegal,3,2,Friendly,FALSE,1724,1840,1632,1664,61,76,0.6
2026-06-01,Austria,Tunisia,1,0,Friendly,FALSE,1790,1639,1520,1475,76,61,0.6
2026-06-01,Canada,Uzbekistan,2,0,Friendly,FALSE,1803,1734,1536,1556,64,65,0.6
2026-06-01,Norway,Sweden,3,1,Friendly,FALSE,1879,1670,1508,1492,73,59,0.6
2026-06-02,Croatia,Belgium,0,2,Friendly,FALSE,1903,1839,1669,1697,75,73,0.6
2026-06-02,Haiti,New Zealand,4,0,Friendly,TRUE,1581,1636,1360,1435,59,50,0.6
2026-06-03,Netherlands,Algeria,0,1,Friendly,FALSE,1941,1759,1753,1577,75,73,0.6
2026-06-04,France,Cote d'Ivoire,1,2,Friendly,FALSE,2074,1692,1864,1553,76,72,0.6
2026-06-04,Spain,Iraq,1,1,Friendly,FALSE,2166,1632,1894,1500,76,67,0.6
2026-06-06,Australia,Switzerland,1,1,Friendly,TRUE,1806,1870,1616,1622,64,71,0.6
2026-06-06,Belgium,Tunisia,5,0,Friendly,FALSE,1862,1635,1702,1470,75,59,0.6
2026-06-06,Brazil,Egypt,2,1,Friendly,TRUE,1989,1712,1781,1572,68,70,0.6
2026-06-06,England,New Zealand,1,0,Friendly,TRUE,2009,1612,1787,1429,72,46,0.6
2026-06-06,Panama,Bosnia and Herzegovina,1,1,Friendly,TRUE,1763,1526,1535,1318,65,61,0.6
2026-06-06,USA,Germany,1,2,Friendly,FALSE,1735,1912,1638,1749,62,75,0.6
2026-06-07,Jordan,Colombia,0,2,Friendly,TRUE,1675,1982,1458,1701,63,69,0.6
2026-06-07,Morocco,Norway,1,1,Friendly,TRUE,1901,1884,1710,1513,75,73,0.6
2026-06-08,Netherlands,Uzbekistan,2,1,Friendly,TRUE,1922,1725,1746,1551,70,63,0.6
2026-06-09,Saudi Arabia,Senegal,0,0,Friendly,TRUE,1572,1829,1461,1659,56,71,0.6
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,FALSE,1895,1546,1697,1434,71,64,1
2026-06-11,Korea Republic,Czechia,2,1,FIFA World Cup,TRUE,1786,1698,1637,1464,66,68,1
