date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_pre,away_elo_pre,home_fifa_pre,away_fifa_pre,home_form_pre,away_form_pre,match_weight
2023-10-12,Argentina,Paraguay,1,0,FIFA World Cup qualification,FALSE,2159,1671,1860,1401,78,57,1
2023-10-12,Algeria,Cabo Verde,5,1,Friendly,FALSE,1714,1487,1538,1299,68,64,0.6
2023-10-12,Spain,Scotland,2,0,UEFA Euro qualification,FALSE,1986,1779,1771,1475,68,72,1
2023-10-12,Croatia,Türkiye,0,1,UEFA Euro qualification,FALSE,1994,1650,1696,1470,67,63,1
2023-10-13,Curacao,Panama,1,2,CONCACAF Nations League,FALSE,1348,1724,1164,1466,46,66,1
2023-10-13,Congo DR,New Zealand,1,1,Friendly,TRUE,1512,1600,1324,1404,65,54,0.6
2023-10-13,England,Australia,1,0,Friendly,FALSE,2001,1775,1783,1579,74,61,0.6
2023-10-13,Iraq,Qatar,0,0,Friendly,TRUE,1592,1512,1434,1414,64,53,0.6
2023-10-13,Japan,Canada,4,1,Friendly,FALSE,1897,1738,1687,1478,70,62,0.6
2023-10-13,Korea Republic,Tunisia,4,0,Friendly,FALSE,1760,1758,1604,1502,54,69,0.6
2023-10-13,Netherlands,France,1,2,UEFA Euro qualification,FALSE,1971,2096,1770,1873,64,75,1
2023-10-13,Austria,Belgium,2,3,UEFA Euro qualification,FALSE,1772,1967,1466,1775,69,70,1
2023-10-14,Cote d'Ivoire,Morocco,1,1,Friendly,FALSE,1635,1834,1513,1607,71,61,0.6
2023-10-14,Mexico,Ghana,2,0,Friendly,TRUE,1854,1583,1676,1445,68,68,0.6
2023-10-14,USA,Germany,1,3,Friendly,FALSE,1825,1881,1674,1727,73,55,0.6
2023-10-15,Norway,Spain,0,1,UEFA Euro qualification,FALSE,1695,1997,1428,1778,65,68,1
2023-10-16,Algeria,Egypt,1,1,Friendly,TRUE,1720,1679,1541,1545,69,78,0.6
2023-10-16,Belgium,Sweden,1,1,UEFA Euro qualification,FALSE,1984,1672,1782,1527,73,69,1
2023-10-16,Bosnia and Herzegovina,Portugal,0,5,UEFA Euro qualification,FALSE,1467,2009,1326,1730,59,76,1
2023-10-17,Ecuador,Colombia,0,0,FIFA World Cup qualification,FALSE,1871,1929,1524,1656,67,70,1
2023-10-17,Uruguay,Brazil,2,0,FIFA World Cup qualification,FALSE,1906,2090,1646,1860,66,65,1
2023-10-17,Australia,New Zealand,2,0,Soccer Ashes,TRUE,1772,1597,1575,1404,57,53,0.8
2023-10-17,France,Scotland,4,1,Friendly,FALSE,2117,1768,1884,1469,75,67,0.6
2023-10-17,Cote d'Ivoire,South Africa,1,1,Friendly,FALSE,1637,1516,1514,1417,68,66,0.6
2023-10-17,Mexico,Germany,2,2,Friendly,TRUE,1861,1900,1679,1732,73,59,0.6
2023-10-17,USA,Ghana,4,0,Friendly,FALSE,1806,1577,1670,1442,71,63,0.6
2023-11-16,Colombia,Brazil,2,1,FIFA World Cup qualification,FALSE,1932,2050,1653,1843,68,61,1
2023-11-16,Argentina,Uruguay,0,2,FIFA World Cup qualification,FALSE,2174,1945,1869,1664,81,69,1
2023-11-18,Germany,Türkiye,2,3,Friendly,FALSE,1899,1695,1731,1492,59,70,0.6
2023-11-19,Scotland,Norway,3,3,UEFA Euro qualification,FALSE,1761,1684,1462,1424,62,65,1
2023-11-21,Paraguay,Colombia,0,1,FIFA World Cup qualification,FALSE,1685,1954,1407,1670,54,68,1
2023-11-21,Brazil,Argentina,0,1,FIFA World Cup qualification,FALSE,2028,2117,1825,1852,60,76,1
2023-11-21,Uzbekistan,IR Iran,2,2,FIFA World Cup qualification,FALSE,1639,1800,1474,1652,69,77,1
2023-11-21,Jordan,Saudi Arabia,0,2,FIFA World Cup qualification,FALSE,1560,1544,1388,1461,61,50,1
2023-11-21,Austria,Germany,2,0,Friendly,FALSE,1772,1880,1470,1724,72,55,0.6
2023-12-16,Mexico,Colombia,2,3,Friendly,TRUE,1818,1968,1671,1677,66,70,0.6
2024-01-05,Qatar,Jordan,1,2,Friendly,FALSE,1549,1516,1427,1377,62,56,0.6
2024-01-06,Iraq,Korea Republic,0,1,Friendly,TRUE,1618,1802,1450,1622,65,68,0.6
2024-01-09,Japan,Jordan,6,1,Friendly,TRUE,1913,1531,1699,1382,79,57,0.6
2024-01-10,Tunisia,Cabo Verde,2,0,Friendly,FALSE,1743,1467,1504,1295,69,60,0.6
2024-01-14,Ghana,Cabo Verde,1,2,African Cup of Nations,TRUE,1536,1463,1423,1291,60,56,1
2024-01-18,Egypt,Ghana,2,2,African Cup of Nations,TRUE,1672,1503,1543,1400,72,56,1
2024-01-19,Iraq,Japan,2,1,AFC Asian Cup,TRUE,1624,1923,1455,1707,62,84,1
2024-01-20,Jordan,Korea Republic,2,2,AFC Asian Cup,TRUE,1557,1818,1392,1636,57,74,1
2024-01-21,Morocco,Congo DR,1,1,African Cup of Nations,TRUE,1849,1478,1622,1310,71,59,1
2024-01-22,Cabo Verde,Egypt,2,2,African Cup of Nations,TRUE,1529,1661,1328,1538,60,70,1
2024-01-23,Australia,Uzbekistan,1,1,AFC Asian Cup,TRUE,1809,1644,1605,1483,68,66,1
2024-01-24,South Africa,Tunisia,0,0,African Cup of Nations,TRUE,1506,1698,1400,1479,60,66,1
2024-01-28,Egypt,Congo DR,1,1,African Cup of Nations,TRUE,1652,1488,1532,1314,67,54,1
2024-01-29,Iraq,Jordan,2,3,AFC Asian Cup,TRUE,1678,1536,1491,1380,66,55,1
2024-01-29,Cote d'Ivoire,Senegal,1,1,African Cup of Nations,FALSE,1533,1797,1485,1612,64,73,1
2024-01-30,Saudi Arabia,Korea Republic,1,1,AFC Asian Cup,TRUE,1613,1778,1492,1615,70,75,1
2024-01-30,Morocco,South Africa,0,2,African Cup of Nations,TRUE,1836,1519,1621,1403,71,60,1
2024-02-02,Australia,Korea Republic,1,2,AFC Asian Cup,TRUE,1804,1766,1607,1611,73,75,1
2024-02-03,IR Iran,Japan,2,1,AFC Asian Cup,TRUE,1804,1890,1662,1695,77,80,1
2024-02-03,Qatar,Uzbekistan,1,1,AFC Asian Cup,FALSE,1582,1669,1470,1499,69,71,1
2024-02-03,Cabo Verde,South Africa,0,0,African Cup of Nations,TRUE,1555,1589,1347,1428,60,62,1
2024-02-06,Jordan,Korea Republic,2,0,AFC Asian Cup,TRUE,1589,1797,1415,1629,59,75,1
2024-02-07,Qatar,IR Iran,3,2,AFC Asian Cup,FALSE,1580,1838,1471,1681,71,77,1
2024-02-07,Cote d'Ivoire,Congo DR,1,0,African Cup of Nations,FALSE,1572,1539,1507,1339,66,58,1
2024-02-10,Qatar,Jordan,3,1,AFC Asian Cup,FALSE,1618,1651,1496,1440,73,63,1
2024-02-10,South Africa,Congo DR,0,0,African Cup of Nations,TRUE,1591,1521,1428,1326,60,56,1
2024-03-21,Panama,Mexico,0,3,CONCACAF Nations League,TRUE,1794,1811,1491,1666,74,65,1
2024-03-21,Portugal,Sweden,5,2,Friendly,FALSE,2019,1640,1739,1517,84,67,0.6
2024-03-22,Egypt,New Zealand,1,0,FIFA Series,FALSE,1640,1576,1525,1395,65,48,0.8
2024-03-22,Netherlands,Scotland,4,0,Friendly,FALSE,1966,1751,1772,1461,66,63,0.6
2024-03-22,Norway,Czechia,1,2,Friendly,FALSE,1694,1706,1425,1472,65,67,0.6
2024-03-22,Spain,Colombia,0,1,Friendly,TRUE,2015,1975,1788,1683,77,73,0.6
2024-03-23,Tunisia,Croatia,0,0,FIFA Series,TRUE,1685,1925,1477,1666,66,69,0.8
2024-03-23,England,Brazil,0,1,Friendly,FALSE,2005,2004,1789,1813,77,56,0.6
2024-03-23,France,Germany,0,2,Friendly,FALSE,2105,1864,1877,1717,76,51,0.6
2024-03-24,USA,Mexico,2,0,CONCACAF Nations League,FALSE,1781,1848,1660,1671,66,66,1
2024-03-26,Algeria,South Africa,3,3,FIFA Series,FALSE,1675,1571,1511,1420,71,58,0.8
2024-03-26,Egypt,Croatia,2,4,FIFA Series,FALSE,1650,1916,1529,1664,69,68,0.8
2024-03-26,New Zealand,Tunisia,0,0,FIFA Series,TRUE,1567,1694,1391,1478,47,63,0.8
2024-03-26,Austria,Türkiye,6,1,Friendly,FALSE,1802,1710,1481,1493,73,63,0.6
2024-03-26,England,Belgium,2,2,Friendly,FALSE,1991,1966,1784,1777,73,74,0.6
2024-03-26,Germany,Netherlands,2,1,Friendly,FALSE,1892,1972,1723,1774,55,71,0.6
2024-03-26,Cote d'Ivoire,Uruguay,2,1,Friendly,TRUE,1607,2006,1535,1686,68,74,0.6
2024-03-26,Spain,Brazil,3,3,Friendly,FALSE,2002,2019,1782,1818,72,59,0.6
2024-06-03,England,Bosnia and Herzegovina,3,0,Friendly,FALSE,1987,1398,1784,1284,70,47,0.6
2024-06-05,Mexico,Uruguay,0,4,Friendly,TRUE,1823,1975,1665,1674,62,66,0.6
2024-06-06,Netherlands,Canada,4,0,Friendly,FALSE,1962,1732,1769,1481,66,61,0.6
2024-06-06,Senegal,Congo DR,1,1,FIFA World Cup qualification,FALSE,1793,1526,1612,1329,77,54,1
2024-06-08,Mexico,Brazil,2,3,Friendly,TRUE,1810,2021,1659,1818,59,60,0.6
2024-06-08,Portugal,Croatia,1,2,Friendly,FALSE,1997,1933,1736,1670,78,69,0.6
2024-06-08,Switzerland,Austria,1,1,Friendly,FALSE,1769,1820,1580,1492,63,76,0.6
2024-06-08,USA,Colombia,1,5,Friendly,FALSE,1810,1990,1667,1691,69,73,0.6
2024-06-09,Argentina,Ecuador,1,0,Friendly,TRUE,2143,1864,1867,1536,78,67,0.6
2024-06-09,France,Canada,0,0,Friendly,FALSE,2079,1726,1873,1479,71,56,0.6
2024-06-11,IR Iran,Uzbekistan,0,0,FIFA World Cup qualification,FALSE,1808,1681,1665,1511,76,72,1
2024-06-11,Saudi Arabia,Jordan,1,2,FIFA World Cup qualification,FALSE,1624,1632,1498,1436,71,72,1
2024-06-12,USA,Brazil,1,1,Friendly,FALSE,1793,2027,1663,1821,66,60,0.6
2024-06-14,Germany,Scotland,5,1,UEFA Euro,FALSE,1901,1718,1730,1451,64,52,1
2024-06-15,Spain,Croatia,3,0,UEFA Euro,TRUE,2001,1949,1784,1675,77,72,1
2024-06-16,Panama,Paraguay,0,1,Friendly,FALSE,1743,1663,1490,1396,71,52,0.6
2024-06-17,Austria,France,0,1,UEFA Euro,TRUE,1822,2069,1493,1870,73,69,1
