candidate,cv_log_loss,cv_brier,w_fifa,w_elo,w_odds,w_form,w_squad,w_wcPath,w_health,w_club,w_atmosphere,w_schedule
fitted,1.0372,0.6205,0.22,0.17,0.06,0.01,0.44,0.01,0.05,0.01,0.02,0.01
current,1.0377,0.6222,0.23,0.22,0.14,0.11,0.11,0.07,0.05,0.04,0.02,0.01
equal,1.0388,0.6226,0.13,0.13,0.13,0.13,0.13,0.13,0.05,0.13,0.02,0.01
elo_only,1.0421,0.6270,0.00,0.92,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.01
fifa_only,1.0398,0.6253,0.92,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.01
odds_only,1.0486,0.6285,0.00,0.00,0.92,0.00,0.00,0.00,0.05,0.00,0.02,0.01
form_only,1.0901,0.6609,0.00,0.00,0.00,0.92,0.00,0.00,0.05,0.00,0.02,0.01
